DepthBin,Date,Time,Latitude,Longitude,Year,gm2
140,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0
150,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0.422456617
160,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,2.233076323
170,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,2.034740138
180,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,1.09884144
190,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,5.858919198
200,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0
210,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,2.487938981
220,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,6.864342927
230,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0
240,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,16.20398444
10,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
20,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0.372694301
30,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0.769022676
40,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,26.60430337
50,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0.442181291
60,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
70,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,2.238295334
80,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0.385742638
90,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0.412904078
100,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0.408459258
110,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0.969093811
120,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,1.736694776
130,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0.763860728
140,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,4.370560483
150,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
160,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,1.524902315
170,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
180,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
190,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
200,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
210,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
220,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
230,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
240,1/13/2009,09:52:30,-62.63623799,-62.24769929,2009,0
10,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0.164882469
20,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0.313226468
