Longitude,Latitude,gm2,Year
-61.92171397,-62.25851747,16.2335765,2009
-61.89735324,-62.27305317,11.4078641,2009
-61.87234601,-62.2871173,15.05518885,2009
-61.8539332,-62.29780428,6.278729482,2009
-61.82911572,-62.31190562,3.662798864,2009
-61.80487667,-62.32607836,3.673550529,2009
-61.78684098,-62.33705017,25.61932225,2009
-61.7624458,-62.3512915,3.825346215,2009
-61.73706859,-62.36581435,88.95646191,2009
-61.7180432,-62.37646815,46.52558114,2009
-61.00708875,-62.23776202,26.01648511,2009
-61.01780053,-62.22458712,140.6843887,2009
-61.04682764,-62.21038204,20.3460428,2009
-61.07255353,-62.19894185,14.38614488,2009
-61.09788227,-62.18716145,5.924945598,2009
-61.12282841,-62.17563521,11.5427073,2009
-61.14775481,-62.16398698,17.34247069,2009
-61.17176985,-62.15248639,3.497345363,2009
-61.19761267,-62.140606,19.67708139,2009
-61.22222351,-62.1291621,60.01850982,2009
-61.24716006,-62.11822773,38.2556451,2009
-61.272385,-62.10742904,69.69222673,2009
-61.29840708,-62.0957049,59.67770345,2009
-61.3226676,-62.08424923,24.55936357,2009
-61.34951918,-62.07161737,5.77259426,2009
-61.37236977,-62.06124482,8.270827595,2009
-61.40197496,-62.04748923,42.75488683,2009
-61.42702175,-62.03720724,2.459792096,2009
-61.45112305,-62.02739102,67.83026921,2009
-61.47901937,-62.01515686,225.6101807,2009
-61.49792525,-62.00440802,32.12140728,2009
-61.5086157,-61.99339433,306.0174178,2009
-61.53841855,-61.97858575,75.34481732,2009
-61.55981912,-61.96758977,29.31534455,2009
-61.58442395,-61.9559671,17.44779711,2009
-61.60700268,-61.94431558,8.945946516,2009
-61.63143314,-61.93278844,20.37687325,2009
-61.65663642,-61.92061508,41.33683057,2009
-61.68103788,-61.90776017,49.60966548,2009
-61.70494493,-61.89509112,44.58762582,2009
-61.73177595,-61.88247202,55.55990806,2009
-61.75346388,-61.87199638,44.47616941,2009
-61.77805135,-61.85976145,15.90741825,2009
-61.80190237,-61.84765277,45.72175993,2009
-61.8254152,-61.83551338,48.65638006,2009
-61.84895202,-61.82284682,75.8510695,2009
-61.87437871,-61.81011409,74.00462777,2009
-61.89971725,-61.79824893,50.96815515,2009
-61.92212403,-61.78801828,27.17447427,2009
-61.94745913,-61.77462379,51.42301408,2009
-61.97299006,-61.76162663,62.81850326,2009
-61.99989349,-61.74853064,26.85406437,2009
-61.535169,-61.4869355,6.908767251,2009
-61.5557543,-61.47837307,150.0327988,2009
-61.54507769,-61.4787734,136.5467974,2009
-61.52149709,-61.49142549,107.832935,2009
-61.49711442,-61.50453883,70.40298029,2009
-61.4723439,-61.51764467,66.40182633,2009
-61.44720357,-61.5310382,65.99850231,2009
-61.42781822,-61.54100435,83.57869095,2009
-61.40109099,-61.55356398,50.3964217,2009
-61.37528905,-61.56694277,24.36162999,2009
-61.35564769,-61.5768678,21.77499965,2009
-61.32827823,-61.58991556,31.02212957,2009
-61.307924,-61.60002923,32.01213059,2009
-61.28139095,-61.61312595,24.54918254,2009
-61.25430128,-61.62625338,17.79640285,2009
-61.23409049,-61.63604377,40.31330502,2009
-61.20689435,-61.64928428,19.26091907,2009
-61.18036318,-61.66253577,28.05655232,2009
-61.16042784,-61.67203163,27.7526121,2009
-61.13357698,-61.68506481,34.88757144,2009
-61.10497551,-61.69716608,57.93828828,2009
-61.0828154,-61.70599398,76.92923643,2009
-61.05212757,-61.71745045,118.9760504,2009
-61.0296775,-61.72608038,109.4914571,2009
-60.99800577,-61.73961155,113.5447486,2009
-60.97880414,-61.75377087,160.2693248,2009
-60.44860688,-62.02891931,18.36509862,2009
-60.42067656,-62.04018649,140.3531163,2009
-60.39294512,-62.0515378,66.58691789,2009
-60.36593728,-62.06355803,25.08492075,2009
-60.33915545,-62.0756149,362.3557028,2009
-60.31922563,-62.0846426,9.363863613,2009
-60.29299091,-62.09668805,12.67019827,2009
-60.26607438,-62.10893298,5.310579431,2009
-60.23763433,-62.12069168,140.1999373,2009
-60.2089641,-62.13233635,158.5105176,2009
